gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
RPF2,0.20321360864226734,0.0010672830466049103,0.0008030786790451113,25,1181,0.18762208145757495,0.16535959242124867,-1.1414797929929856,9.119791077079132
KRT5,0.07499614887124978,0.0010588767211831547,0.0013320622437250395,25,1181,0.18762208145757495,0.17669286988403096,-0.051367903825983934,11.721843328674861
PPAN,0.2022624667211903,0.0010920026669243715,0.0010367605716778128,25,1181,0.1893381234258687,0.16782369911489245,-1.320356143183027,9.195019756618589
UBXN1,0.057392303099362746,0.0010981632277223994,0.007470292896993229,25,1181,0.1893381234258687,0.26998362500342005,-0.041890590830059804,10.590919071277455
CREB3L4,-0.06479429187028327,0.001119806456316196,0.0005091180326991252,25,1181,0.19123094826862583,0.14807181063867333,-0.057194994766020156,9.773861944655131
WSCD1,0.051906675620372,0.0011810572170935377,0.0033407919141814897,25,1181,0.1912443712060137,0.23121851223285197,0.06655217895856809,4.464940678814411
SAP25,0.07429573787653533,0.001174458189196075,0.0038262126896081608,25,1181,0.1912443712060137,0.24171429096927888,-0.01978910345588944,
MSH3,0.10707369695770816,0.0011838784899820154,0.0013001593651197193,25,1181,0.1912443712060137,0.17669286988403096,-0.025212686807810202,8.367056795196756
OR1L4,-0.06062999687091315,0.0011480335648888272,0.0013833344640560826,24,1022,0.1912443712060137,0.1779825658970119,-0.05556613430338834,0.0
LRP6,0.08592687387658546,0.0011571952524902878,0.0009292618262235393,25,1181,0.1912443712060137,0.1662081822058303,-0.0027875344555741955,10.471590013331998
MAG,0.09588565176657249,0.001176604080326177,0.0009949104045351917,25,1181,0.1912443712060137,0.1662081822058303,-0.1743384479601601,0.47956748869755206
APAF1,0.11514758930928022,0.001214113383975981,0.00022730902417608743,25,1181,0.19228323829634691,0.11741902550297391,0.02019144608743133,8.881609555427836
PSMD7,-0.3130552818184915,0.0012420873981858099,0.0010010865918370238,25,1181,0.19228323829634691,0.1662081822058303,-2.205947052962223,11.077667240221317
PIP4P2,0.07760486412619733,0.0012249177645858409,0.0005373626860328264,25,1181,0.19228323829634691,0.15055391130085327,0.01890701643999997,7.42841564780459
PA2G4,0.109953400983194,0.0012439270337614324,0.0031759539223244334,25,1181,0.19228323829634691,0.23121851223285197,-0.46444523114545494,11.796830699671013
ASCC2,0.07085003698260635,0.0012188181664560213,0.005834533874088429,25,1181,0.19228323829634691,0.2678323326422035,0.01897120029987435,10.47568606583837
RNASEL,0.05133788831894683,0.0012567753411945116,0.004217879976675939,25,1181,0.19260887729024603,0.24530834964140033,-0.036620937136527414,7.897479446972538
RORA,-0.08452436996395823,0.001277190646190433,0.000862237088747214,25,1181,0.1940788599732259,0.1662081822058303,0.015702238824093502,8.197591476104666
EBP,-0.051994246230351496,0.00132760552186119,0.0028144240060256707,25,1181,0.20004449254195797,0.2273217876218302,0.08343388001111417,9.841942506053023
SAFB2,0.06535739948795391,0.0013521144714816647,0.01046054711654107,25,1181,0.20036995527386553,0.3020419812346183,-0.10750182694485738,10.278637907784812
WDR93,0.09852968772299195,0.0013481806004188364,0.00043341542652295756,25,1181,0.20036995527386553,0.13877807166041342,-0.12527918729159485,2.8328504981048312
